Comment,Designator,Footprint,LCSC Part #
"1u","C1, C133","C0603","C15849"
"100n","C2, C3, C4, C5, C6, C411, C413, C420, C460, C461, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C101, C105, C106, C107, C108, C109, C110, C112, C113, C118, C119, C120, C121, C122, C123, C124, C126, C127, C128, C129, C130, C135, C139, C430, C431","C0603","C14663"
"10u","C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C425, C426","C0805","C15850"
"1N4148WS","D1, D2, D3, D4, D5, D6, D7, D8, D21, D22, D30, D37, D38, D41, D42, D45, D46, D410, D412, D413, D414","SOD-323","C2128"
"LED-RED-0603","D9, D13, D14, D15, D16, D17, D31, D32, D39, D40, D43, D44, D47, D48, D103","LED-0603","C2286"
"LED-WHITE-0603","D10, D11, D12, D33, D34, D35, D36","LED-0603","C2290"
"LED-BLUE-0603","D18, D19, D23, D24, D105","LED-0603","C72041"
"LED-GREEN-0603","D20, D751, D104, D751_2","LED-0603","C72043"
"B5819W","D25, D26, D27, D28, D29, D50, D51, D52, D53, D54, D416, D417, D101, D107","SOD-123","C8598"
"PSM712-LF","D49, D411","SOT-23","C32677"
"nSMD005","F8, F9","PAD-1206-PAD","C369153"
"nSMD050","F4, F7","PAD-1206-PAD","C720075"
"12H1500D","F6","PAD-1206-PAD","C182446"
"DISCLAIMER","G1","",""
"LOGO","G2","LOGO",""
"LOGO","G3","LOGO",""
"LOGO_AlphaECU","G4","alphax_logo_AlphaECU",""
"LOGO_AlphaX","G5","alphax_logo_AlphaX",""
"ALPHAX_QR_CODE","G6","alphax_qr_code",""
"USB_B_Mini","J1","USB-MINI-B-HORIZONTAL","C69074"
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J5","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J6","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J7","MountingHole_4.5mm_Pad",""
"Conn_01x01","J8","MountingHole_4.5mm_Pad",""
"33311-24AW-2","P1","33311-24AW-2",""
"33311-24AW-2","P2","33311-24AW-2",""
"AO3400A","Q1, Q2, Q10, Q11, Q12, Q15, Q19, Q20, Q21, Q24, Q25, Q27, Q33, Q34, Q35, Q36","SOT-23","C20917"
"AO3401A","Q3, Q4, Q5, Q13, Q14, Q16, Q17, Q18, Q31, Q32","SOT-23","C15127"
"VND14NV04-E","Q22, Q23, Q26, Q28, Q29, Q30","DPAK","C155647"
"4.7k","R1, R2, R5, R25, R26, R27, R28, R50, R51, R78, R83, R84, R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"4.7k","R3, R30, R31, R38, R39, R41, R43, R46, R74, R76","R0603","C23162"
"1k","R49","R0603-4","C240722"
"Jumper-Pad-Pad","R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71","PAD-0805-PAD","C17477"
"2k","R21, R23, R34, R36, R75, R77","R1206","C17944"
"4.7k","R22, R24, R35, R37, R72, R73","R1206","C17936"
"1.2k","R29, R42, R79, R80, R81, R82, R134","R0603","C22765"
"2.7k","R32, R33","R0603","C13167"
"SMD1206B035TF/16","R40, F101","SMD1206","C269114"
"3.3k","R44, R45, R85, R86, R87, R88, R89, R216","R0603","C22978"
"0","R47","R0603","C21189"
"0","R48","R0603",""
"10k","R90, R421, R102, R121, R127, R128","R0603","C25804"
"74HC2G17GW","U2, U5","SOT-363","C94189"
"JDY-33","U4","JDY-33",""
"TLE9201SG","U6","Infineon_PG-DSO-12-11","C112633"
"47u","C410, C412","C1206","C96123"
"SMCJ30A","D418","SMC","C310046"
"6.8k","R410, R413","R0603","C23212"
"33k","R411","R0603","C4216"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"10u","C421, C422, C423, C424","C1206","C13585"
"4.7u","C427, C102, C103, C104, C137, C138, C140","C0603","C19666"
"10n","C428, C201, C208, C209, C210, C211","C0603","C57112"
"220p","C429","C0603","C1603"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D206","SMB","C78395"
"1","R420","R0603","C22936"
"68k","R422","R0603","C23231"
"12k","R423","R0603","C22790"
"1n","C751, C751_2","C0402","C1523"
"470n","C752, C752_2","C0402","C47339"
"100n","C753, C754, C759, C753_2, C754_2, C759_2","C0402","C1525"
"1u","C755, C758, C761, C762, C763, C765, C766, C767, C755_2, C758_2, C761_2, C762_2, C763_2, C765_2, C766_2, C767_2","C0402","C52923"
"10n","C756, C757, C760, C764, C756_2, C757_2, C760_2, C764_2","C0402","C15195"
"2.2k","R751, R751_2","R0402","C25879"
"10k","R752, R753, R752_2, R753_2","R0805","C17414"
"12k","R754, R754_2","R0402","C25752"
"100k","R755, R756, R758, R759, R755_2, R756_2, R758_2, R759_2","R0402","C25741"
"10k","R757, R762, R763, R767, R768, R757_2, R762_2, R763_2, R767_2, R768_2","R0402","C25744"
"68k","R760, R760_2","R0402","C36871"
"10","R761, R764, R769, R761_2, R764_2, R769_2","R0402","C25077"
"1k","R765, R766, R765_2, R766_2","R0402","C11702"
"SRV05-4-P-T7","U751, D200, D201, D202, D203, D204, D205, D102, U751_2","SOT23-6","C85364"
"74AHC1G02","U752, U757, U752_2, U757_2","SOT23-5","C7463"
"MCP6004","U753, U104, U106, U107, U108, U753_2","TSSOP14","C50282"
"MAX9142","U754, U754_2","SO8","C18567"
"NC7SB3157P6X","U755, U756, U755_2, U756_2","SOT-363","C87403"
"10","R461, R462, R463, R464, R466, R467, R468, R469","R0603","C22859"
"SN74LVC4245APWR","U460","TSSOP24","C7859"
"1n","C200, C202, C203, C216, C217, C218, C219","C0603","C1588"
"2.2u","C227, C228, C229","C0805","C49217"
"680k","R206, R209, R211","R0603-4","C145776"
"10k","R208, R210, R129, R130","R0603-4","C29718"
"510","R214, R215, R116, R119, R120, R124, R133","R0603","C23193"
"2.2u","C114, C131","C0603","C23630"
"12p","C115, C116","C0603","C38523"
"18p","C132, C136","C0603","C1647"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"4.7k","R101, R107, R108, R109, R110, R111, R112, R113, R115, R117, R118, R125, R126","R0603-4","C66697"
"100","R104, R106","R0603","C22775"
"47","R114","R0603","C23182"
"2.2k","R122, R123","R0603","C4190"
"5.1k","R132","R0603","C23186"
"AMS1117-3.3","U101","SOT-223","C6186"
"XC6206P332MR","U111","SOT-23","C5446"
"32.768 kHz","Y101","SMD2012","C99009"
"20 MHz","Y102","SMD5032","C112566"
"PESD1CAN","D430","SOT-23","C343993"
"120","R430","R0603","C22787"
"TJA1051T/3/1J","U430","SO8","C38695"
"STM32F407ZGT7","U105","LQFP144","C1337111"
"MWSA0503S-100MT","L421","MWSA0503","C408412"
"nSMD050-24V","F410, F300","SMD1206","C70076"
"Fuse-5A-1206","F1, F2, F3","SMD1206","C553924"
"AP2331W-7","U103, U480","SOT-23","C460346"
"LMR14020SDDAR","U420","SOP8","C187824"
"TS-1088R-02026","S1, S2","SMD-2_2.9x3.9x1.7","C455280"
"0437005.WR","F5","PAD-1206-PAD","C99541"
"NLV32T-2R2J-PF","L420","L1210","C89016"
"4D03WGF1001T5E","R4","R0603-4","C425239"
