Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
G2,4.45mm,31.550000mm,Bottom,90.0,4.45mm,31.550000mm
G3,5.107713mm,19.855349mm,Bottom,90.0,5.107713mm,19.855349mm
C1,59.200000mm,83.550000mm,Top,-90.0,59.200000mm,83.550000mm
C2,66.050000mm,4.250000mm,Top,90.0,66.050000mm,4.250000mm
C3,25.400000mm,25.220000mm,Top,-90.0,25.400000mm,25.220000mm
C4,45.800000mm,6.150000mm,Top,180.0,45.800000mm,6.150000mm
C5,2.760000mm,40.138010mm,Top,180.0,2.760000mm,40.138010mm
C6,38.220000mm,89.800000mm,Top,0.0,38.220000mm,89.800000mm
C7,51.000000mm,82.100000mm,Top,-90.0,51.000000mm,82.100000mm
C8,47.600000mm,82.100000mm,Top,-90.0,47.600000mm,82.100000mm
C9,40.800000mm,82.100000mm,Top,-90.0,40.800000mm,82.100000mm
C10,45.900000mm,82.100000mm,Top,-90.0,45.900000mm,82.100000mm
C11,52.700000mm,82.100000mm,Top,-90.0,52.700000mm,82.100000mm
C12,42.500000mm,82.100000mm,Top,90.0,42.500000mm,82.100000mm
C13,44.200000mm,82.100000mm,Top,-90.0,44.200000mm,82.100000mm
C14,54.400000mm,82.100000mm,Top,-90.0,54.400000mm,82.100000mm
C15,49.300000mm,82.100000mm,Top,90.0,49.300000mm,82.100000mm
C16,56.100000mm,82.100000mm,Top,90.0,56.100000mm,82.100000mm
D1,67.950000mm,72.250000mm,Top,90.0,67.950000mm,72.250000mm
D2,41.962503mm,68.150000mm,Top,-90.0,41.962503mm,68.150000mm
D3,47.350000mm,68.200000mm,Top,90.0,47.350000mm,68.200000mm
D4,57.650000mm,76.250000mm,Top,90.0,57.650000mm,76.250000mm
D5,73.180000mm,72.000000mm,Top,90.0,73.180000mm,72.000000mm
D6,42.050000mm,72.150000mm,Top,90.0,42.050000mm,72.150000mm
D7,36.850000mm,76.150000mm,Top,90.0,36.850000mm,76.150000mm
D8,41.800000mm,76.200000mm,Top,90.0,41.800000mm,76.200000mm
D9,70.338001mm,71.674002mm,Top,0.0,70.338001mm,71.674002mm
D10,65.150000mm,76.100000mm,Top,0.0,65.150000mm,76.100000mm
D11,70.350000mm,76.100000mm,Top,0.0,70.350000mm,76.100000mm
D12,60.000001mm,76.000002mm,Top,0.0,60.000001mm,76.000002mm
D13,75.538001mm,71.674002mm,Top,0.0,75.538001mm,71.674002mm
D14,44.350000mm,71.600000mm,Top,0.0,44.350000mm,71.600000mm
D15,39.200000mm,76.100000mm,Top,0.0,39.200000mm,76.100000mm
D16,44.399998mm,76.050000mm,Top,0.0,44.399998mm,76.050000mm
D17,39.300000mm,71.650000mm,Top,0.0,39.300000mm,71.650000mm
D18,49.450000mm,71.600000mm,Top,0.0,49.450000mm,71.600000mm
D19,54.588001mm,71.624002mm,Top,0.0,54.588001mm,71.624002mm
D20,34.150000mm,64.300000mm,Top,0.0,34.150000mm,64.300000mm
D21,36.712503mm,71.901498mm,Top,90.0,36.712503mm,71.901498mm
D22,31.287498mm,64.251499mm,Top,-90.0,31.287498mm,64.251499mm
D23,60.000000mm,71.700000mm,Top,0.0,60.000000mm,71.700000mm
D24,65.150000mm,71.650000mm,Top,0.0,65.150000mm,71.650000mm
D25,78.800000mm,74.395000mm,Top,-90.0,78.800000mm,74.395000mm
D26,67.800000mm,86.005000mm,Top,-90.0,67.800000mm,86.005000mm
D27,9.450000mm,38.550010mm,Top,0.0,9.450000mm,38.550010mm
D28,3.250000mm,38.550010mm,Top,180.0,3.250000mm,38.550010mm
D29,7.400000mm,31.850000mm,Top,0.0,7.400000mm,31.850000mm
D30,67.750000mm,76.451499mm,Top,90.0,67.750000mm,76.451499mm
D31,44.350000mm,68.050000mm,Top,0.0,44.350000mm,68.050000mm
D32,49.650000mm,68.050000mm,Top,0.0,49.650000mm,68.050000mm
D33,75.550000mm,76.100000mm,Top,0.0,75.550000mm,76.100000mm
D34,39.350000mm,64.350000mm,Top,0.0,39.350000mm,64.350000mm
