Designator,Mid X,Mid Y,Layer,Rotation
G2,4.45mm,31.55mm,Bottom,90.0
G3,5.107713mm,19.855349mm,Bottom,90.0
C1,59.2mm,83.55mm,Top,270.0
C2,66.05mm,4.25mm,Top,90.0
C3,25.4mm,25.22mm,Top,270.0
C4,45.8mm,6.15mm,Top,180.0
C5,2.76mm,40.13801mm,Top,180.0
C6,38.22mm,89.8mm,Top,0.0
C7,51.0mm,82.1mm,Top,270.0
C8,47.6mm,82.1mm,Top,270.0
C9,40.8mm,82.1mm,Top,270.0
C10,45.9mm,82.1mm,Top,270.0
C11,52.7mm,82.1mm,Top,270.0
C12,42.5mm,82.1mm,Top,90.0
C13,44.2mm,82.1mm,Top,270.0
C14,54.4mm,82.1mm,Top,270.0
C15,49.3mm,82.1mm,Top,90.0
C16,56.1mm,82.1mm,Top,90.0
D1,67.95mm,72.25mm,Top,90.0
D2,41.962503mm,68.15mm,Top,270.0
D3,47.35mm,68.2mm,Top,90.0
D4,57.65mm,76.25mm,Top,90.0
D5,73.18mm,72.0mm,Top,90.0
D6,42.05mm,72.15mm,Top,90.0
D7,36.85mm,76.15mm,Top,90.0
D8,41.8mm,76.2mm,Top,90.0
D9,70.338001mm,71.674002mm,Top,0.0
D10,65.15mm,76.1mm,Top,0.0
D11,70.35mm,76.1mm,Top,0.0
D12,60.000001mm,76.000002mm,Top,0.0
D13,75.538001mm,71.674002mm,Top,0.0
D14,44.35mm,71.6mm,Top,0.0
D15,39.2mm,76.1mm,Top,0.0
D16,44.399998mm,76.05mm,Top,0.0
D17,39.3mm,71.65mm,Top,0.0
D18,49.45mm,71.6mm,Top,0.0
D19,54.588001mm,71.624002mm,Top,0.0
D20,34.15mm,64.3mm,Top,0.0
D21,36.712503mm,71.901498mm,Top,90.0
D22,31.287498mm,64.251499mm,Top,270.0
D23,60.0mm,71.7mm,Top,0.0
D24,65.15mm,71.65mm,Top,0.0
D25,78.8mm,74.395mm,Top,270.0
D26,67.8mm,86.005mm,Top,270.0
D27,9.45mm,38.55001mm,Top,0.0
D28,3.25mm,38.55001mm,Top,180.0
D29,7.4mm,31.85mm,Top,0.0
D30,67.75mm,76.451499mm,Top,90.0
D31,44.35mm,68.05mm,Top,0.0
D32,49.65mm,68.05mm,Top,0.0
D33,75.55mm,76.1mm,Top,0.0
D34,39.35mm,64.35mm,Top,0.0
D35,44.15mm,64.35mm,Top,0.0
D36,49.35mm,64.25mm,Top,0.0
D37,36.737498mm,67.798501mm,Top,270.0
D38,31.75mm,76.55mm,Top,90.0
D39,34.2mm,71.6mm,Top,0.0
D40,34.15mm,67.9mm,Top,0.0
D41,47.25mm,76.451499mm,Top,90.0
D42,52.3mm,76.35mm,Top,90.0
D43,39.35mm,68.05mm,Top,0.0
D44,34.1mm,76.1mm,Top,0.0
D45,31.4mm,71.55mm,Top,270.0
D46,31.35mm,67.95mm,Top,270.0
D47,49.7mm,76.05mm,Top,0.0
D48,54.65mm,76.1mm,Top,0.0
D49,33.25mm,88.05mm,Top,180.0
D50,26.8mm,76.9mm,Top,90.0
D51,25.3mm,73.3mm,Top,180.0
D52,38.5mm,83.35mm,Top,270.0
D53,24.6mm,76.905mm,Top,90.0
D54,29.25mm,76.9mm,Top,90.0
F1,81.196mm,94.545mm,Top,270.0
F2,78.8mm,94.595mm,Top,270.0
F3,70.1mm,94.55mm,Top,270.0
F4,63.95mm,94.55mm,Top,270.0
F5,58.65mm,94.495mm,Top,270.0
F6,56.3mm,94.45mm,Top,270.0
F7,32.9mm,94.949979mm,Top,270.0
F8,39.6mm,94.849979mm,Top,270.0
F9,35.35mm,94.899979mm,Top,270.0
J1,29.8mm,5.2mm,Top,90.0
J2,40.25mm,4.45mm,Top,90.0
P1,61.35mm,101.1mm,Top,0.0
P2,9.65mm,101.1mm,Top,0.0
Q1,3.25mm,31.35001mm,Top,270.0
Q2,3.6mm,46.25001mm,Top,270.0
Q3,3.35mm,35.45001mm,Top,270.0
Q4,2.6mm,49.00001mm,Top,90.0
Q5,2.6mm,52.55001mm,Top,90.0
Q6,72.6mm,84.45mm,Top,90.0
Q7,80.85mm,83.8mm,Top,90.0
Q8,85.95mm,74.65mm,Top,0.0
Q9,17.5mm,76.05mm,Top,180.0
Q10,9.5mm,42.25001mm,Top,270.0
Q11,11.7mm,35.35001mm,Top,180.0
Q12,45.4mm,58.1mm,Top,270.0
Q13,48.71mm,57.65mm,Top,270.0
Q14,45.4mm,61.45mm,Top,270.0
Q15,7.5mm,46.25mm,Top,270.0
Q16,6.1mm,49.05001mm,Top,90.0
Q17,6.1mm,52.45001mm,Top,90.0
Q18,11.55mm,31.2mm,Top,90.0
Q19,15.05mm,31.3mm,Top,270.0
Q20,15.9mm,51.55001mm,Top,0.0
Q21,15.9mm,48.15001mm,Top,0.0
Q22,6.0mm,76.2mm,Top,180.0
Q23,88.05mm,83.8mm,Top,90.0
Q24,33.85mm,84.55mm,Top,0.0
Q25,18.9mm,38.3mm,Top,270.0
Q26,11.9mm,85.3mm,Top,90.0
Q27,37.75mm,87.4mm,Top,0.0
Q28,19.2mm,85.2mm,Top,90.0
Q29,27.2mm,85.25mm,Top,90.0
Q30,4.2mm,85.35mm,Top,90.0
Q31,22.55mm,38.3mm,Top,270.0
Q32,22.55mm,41.7mm,Top,270.0
Q33,56.35mm,57.85mm,Top,270.0
Q34,56.35mm,61.1625mm,Top,270.0
Q35,56.45mm,64.65mm,Top,270.0
Q36,56.45mm,68.15mm,Top,270.0
R1,63.85mm,80.8mm,Top,180.0
R2,36.2mm,57.45mm,Top,0.0
R3,65.7mm,87.8mm,Top,270.0
R4,53.45mm,68.3mm,Top,90.0
R5,28.85mm,67.65mm,Top,270.0
R6,92.05mm,95.1mm,Top,90.0
R7,85.514mm,95.095mm,Top,90.0
R8,76.75mm,95.15mm,Top,90.0
R9,74.8mm,95.15mm,Top,90.0
R10,66.1mm,95.05mm,Top,90.0
R11,47.35mm,106.0mm,Top,90.0
R12,49.85mm,105.95mm,Top,90.0
R13,94.4mm,95.15mm,Top,90.0
R14,89.8mm,95.05mm,Top,270.0
R15,83.482mm,95.095mm,Top,90.0
R16,72.35mm,95.1mm,Top,90.0
R17,68.05mm,95.05mm,Top,90.0
R18,61.85mm,94.6mm,Top,90.0
R19,53.95mm,95.05mm,Top,90.0
R20,87.546mm,95.143mm,Top,90.0
