Designator,Mid X,Mid Y,Layer,Rotation
C1,54.54529mm,84.84mm,Bottom,90.0
C3,38.54529mm,84.84mm,Bottom,270.0
C5,72.25mm,86.5mm,Bottom,180.0
C6,55.94529mm,82.04mm,Bottom,0.0
C7,55.94529mm,80.24mm,Bottom,0.0
C8,45.4mm,79.4mm,Bottom,90.0
C9,47.1mm,79.4mm,Bottom,90.0
C11,55.94529mm,78.54mm,Bottom,0.0
C12,48.8mm,79.4mm,Bottom,270.0
C13,50.5mm,79.4mm,Bottom,90.0
C14,55.94529mm,89.64mm,Bottom,0.0
C15,52.3mm,79.4mm,Bottom,270.0
C16,55.94529mm,87.94mm,Bottom,180.0
C17,32.5mm,69.3mm,Bottom,270.0
C18,27.409999mm,72.8mm,Bottom,180.0
C20,47.6mm,76.0mm,Bottom,180.0
D1,60.3mm,47.5mm,Bottom,270.0
D2,84.9mm,49.7mm,Bottom,90.0
D3,86.787497mm,49.701498mm,Bottom,90.0
D4,73.487498mm,49.701499mm,Bottom,90.0
D5,81.1mm,49.7mm,Bottom,90.0
D6,82.887497mm,49.701498mm,Bottom,90.0
D7,66.0mm,49.7mm,Bottom,90.0
D8,67.9mm,49.7mm,Bottom,90.0
D18,27.8mm,84.8375mm,Bottom,90.0
D19,35.3mm,84.8375mm,Bottom,90.0
D21,54.587497mm,49.701498mm,Bottom,90.0
D22,58.387498mm,49.701498mm,Bottom,90.0
D23,20.3mm,85.0625mm,Bottom,90.0
D26,68.75mm,87.3375mm,Bottom,90.0
D29,39.9mm,79.4375mm,Bottom,90.0
D30,75.4mm,49.7mm,Bottom,90.0
D37,62.187498mm,49.701499mm,Bottom,90.0
D38,64.012502mm,47.498501mm,Bottom,270.0
D41,69.8mm,49.7mm,Bottom,90.0
D42,71.7mm,49.7mm,Bottom,90.0
D45,52.7mm,49.7mm,Bottom,90.0
D46,56.5mm,49.7mm,Bottom,90.0
D49,72.0mm,80.325mm,Bottom,0.0
D51,24.85mm,41.257581mm,Bottom,0.0
D52,67.75mm,78.0625mm,Bottom,180.0
D64,94.205mm,83.675mm,Bottom,90.0
D65,89.205mm,69.175mm,Bottom,90.0
D66,1.8mm,83.5mm,Bottom,90.0
D67,31.8mm,83.5mm,Bottom,90.0
D68,6.22mm,21.2mm,Bottom,90.0
D69,7.5mm,35.0mm,Bottom,90.0
