Comment,Designator,Footprint,LCSC Part #
"10n","C1","C0603","C57112"
"100n","C2","C0603","C14663"
"10n","C3","C0603","C57112"
"100n","C4","C0603","C14663"
"100n","C5","C0603","C14663"
"10u","C6","C0805","C15850"
"10u","C7","C0805","C15850"
"10u","C8","C0805","C15850"
"10u","C9","C0805","C15850"
"470uF","C10","CP_Elec_10x10.5","C72518"
"10u","C11","C0805","C15850"
"10u","C12","C0805","C15850"
"10u","C13","C0805","C15850"
"10u","C14","C0805","C15850"
"10u","C15","C0805","C15850"
"10u","C16","C0805","C15850"
"1n 250V","C17","C0603","C277510"
"100n","C18","C0603","C14663"
"100n","C19","C0603","C14663"
"1n 250V","C20","C0603","C277510"
"1n 250V","C21","C0603","C277510"
"1N4148WS","D1","SOD-323","C2128"
"1N4148WS","D2","SOD-323","C2128"
"1N4148WS","D3","SOD-323","C2128"
"1N4148WS","D4","SOD-323","C2128"
"1N4148WS","D5","SOD-323","C2128"
"1N4148WS","D6","SOD-323","C2128"
"1N4148WS","D7","SOD-323","C2128"
"1N4148WS","D8","SOD-323","C2128"
"LED-RED-0603","D9","LED-0603","C2286"
"LED-WHITE-0603","D10","LED-0603","C2290"
"LED-WHITE-0603","D11","LED-0603","C2290"
"LED-WHITE-0603","D12","LED-0603","C2290"
"LED-RED-0603","D13","LED-0603","C2286"
"LED-RED-0603","D14","LED-0603","C2286"
"LED-RED-0603","D15","LED-0603","C2286"
"LED-RED-0603","D16","LED-0603","C2286"
"LED-RED-0603","D17","LED-0603","C2286"
"LED-GREEN-0603","D20","LED-0603","C72043"
"1N4148WS","D21","SOD-323","C2128"
"1N4148WS","D22","SOD-323","C2128"
"PSM712-LF","D25","SOT-23","C32677"
"B5819W","D26","SOD-123","C8598"
"B5819W","D27","SOD-123","C8598"
"PSM712-LF","D28","SOT-23","C32677"
"PSM712-LF","D29","SOT-23","C32677"
"1N4148WS","D30","SOD-323","C2128"
"LED-RED-0603","D31","LED-0603","C2286"
"LED-RED-0603","D32","LED-0603","C2286"
"LED-WHITE-0603","D33","LED-0603","C2290"
"LED-WHITE-0603","D34","LED-0603","C2290"
"LED-WHITE-0603","D35","LED-0603","C2290"
"LED-WHITE-0603","D36","LED-0603","C2290"
"1N4148WS","D37","SOD-323","C2128"
"1N4148WS","D38","SOD-323","C2128"
"LED-RED-0603","D39","LED-0603","C2286"
"LED-RED-0603","D40","LED-0603","C2286"
"1N4148WS","D41","SOD-323","C2128"
"1N4148WS","D42","SOD-323","C2128"
"LED-RED-0603","D43","LED-0603","C2286"
"LED-RED-0603","D44","LED-0603","C2286"
"1N4148WS","D45","SOD-323","C2128"
"1N4148WS","D46","SOD-323","C2128"
"LED-RED-0603","D47","LED-0603","C2286"
"LED-RED-0603","D48","LED-0603","C2286"
"B5819W","D49","SOD-123","C8598"
"B5819W","D50","SOD-123","C8598"
"B5819W","D51","SOD-123","C8598"
"B5819W","D52","SOD-123","C8598"
"B5819W","D64","SOD-123","C8598"
"B5819W","D65","SOD-123","C8598"
"B5819W","D66","SOD-123","C8598"
