Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,54.54529mm,84.840000mm,Bottom,90.0,54.54529mm,84.840000mm
C3,38.54529mm,84.840000mm,Bottom,-90.0,38.54529mm,84.840000mm
C5,72.25mm,86.500000mm,Bottom,180.0,72.25mm,86.500000mm
C6,55.94529mm,82.040000mm,Bottom,0.0,55.94529mm,82.040000mm
C7,55.94529mm,80.240000mm,Bottom,0.0,55.94529mm,80.240000mm
C8,45.4mm,79.400000mm,Bottom,90.0,45.4mm,79.400000mm
C9,47.1mm,79.400000mm,Bottom,90.0,47.1mm,79.400000mm
C11,55.94529mm,78.540000mm,Bottom,0.0,55.94529mm,78.540000mm
C12,48.8mm,79.400000mm,Bottom,-90.0,48.8mm,79.400000mm
C13,50.5mm,79.400000mm,Bottom,90.0,50.5mm,79.400000mm
C14,55.94529mm,89.640000mm,Bottom,0.0,55.94529mm,89.640000mm
C15,52.3mm,79.400000mm,Bottom,-90.0,52.3mm,79.400000mm
C16,55.94529mm,87.940000mm,Bottom,180.0,55.94529mm,87.940000mm
C17,32.5mm,69.300000mm,Bottom,-90.0,32.5mm,69.300000mm
C18,27.409999mm,72.800000mm,Bottom,180.0,27.409999mm,72.800000mm
C20,47.6mm,76.000000mm,Bottom,180.0,47.6mm,76.000000mm
D1,60.3mm,47.500000mm,Bottom,-90.0,60.3mm,47.500000mm
D2,84.9mm,49.700000mm,Bottom,90.0,84.9mm,49.700000mm
D3,86.787497mm,49.701498mm,Bottom,90.0,86.787497mm,49.701498mm
D4,73.487498mm,49.701499mm,Bottom,90.0,73.487498mm,49.701499mm
D5,81.1mm,49.700000mm,Bottom,90.0,81.1mm,49.700000mm
D6,82.887497mm,49.701498mm,Bottom,90.0,82.887497mm,49.701498mm
D7,66.0mm,49.700000mm,Bottom,90.0,66.0mm,49.700000mm
D8,67.9mm,49.700000mm,Bottom,90.0,67.9mm,49.700000mm
D18,27.8mm,84.837500mm,Bottom,90.0,27.8mm,84.837500mm
D19,35.3mm,84.837500mm,Bottom,90.0,35.3mm,84.837500mm
D21,54.587497mm,49.701498mm,Bottom,90.0,54.587497mm,49.701498mm
D22,58.387498mm,49.701498mm,Bottom,90.0,58.387498mm,49.701498mm
D23,20.3mm,85.062500mm,Bottom,90.0,20.3mm,85.062500mm
D26,68.75mm,87.337500mm,Bottom,90.0,68.75mm,87.337500mm
D29,39.9mm,79.437500mm,Bottom,90.0,39.9mm,79.437500mm
D30,75.4mm,49.700000mm,Bottom,90.0,75.4mm,49.700000mm
D37,62.187498mm,49.701499mm,Bottom,90.0,62.187498mm,49.701499mm
D38,64.012502mm,47.498501mm,Bottom,-90.0,64.012502mm,47.498501mm
D41,69.8mm,49.700000mm,Bottom,90.0,69.8mm,49.700000mm
D42,71.7mm,49.700000mm,Bottom,90.0,71.7mm,49.700000mm
D45,52.7mm,49.700000mm,Bottom,90.0,52.7mm,49.700000mm
D46,56.5mm,49.700000mm,Bottom,90.0,56.5mm,49.700000mm
D49,72.0mm,80.325000mm,Bottom,0.0,72.0mm,80.325000mm
D51,24.85mm,41.257581mm,Bottom,0.0,24.85mm,41.257581mm
D52,67.75mm,78.062500mm,Bottom,180.0,67.75mm,78.062500mm
D64,94.205mm,83.675000mm,Bottom,90.0,94.205mm,83.675000mm
D65,89.205mm,69.175000mm,Bottom,90.0,89.205mm,69.175000mm
D66,1.8mm,83.500000mm,Bottom,90.0,1.8mm,83.500000mm
D67,31.8mm,83.500000mm,Bottom,90.0,31.8mm,83.500000mm
D68,6.22mm,21.200000mm,Bottom,90.0,6.22mm,21.200000mm
D69,7.5mm,35.000000mm,Bottom,90.0,7.5mm,35.000000mm
D70,24.495mm,83.525000mm,Bottom,90.0,24.495mm,83.525000mm
D71,60.02mm,83.700000mm,Bottom,90.0,60.02mm,83.700000mm
D72,63.7mm,88.800000mm,Bottom,180.0,63.7mm,88.800000mm
G2,3.8mm,72.400000mm,Bottom,90.0,3.8mm,72.400000mm
G3,37.8mm,38.800000mm,Bottom,90.0,37.8mm,38.800000mm
Q1,42.3mm,73.900000mm,Bottom,0.0,42.3mm,73.900000mm
Q2,27.8mm,38.157581mm,Bottom,270.0,27.8mm,38.157581mm
Q3,34.0625mm,73.900000mm,Bottom,0.0,34.0625mm,73.900000mm
Q12,81.3mm,68.000000mm,Bottom,90.0,81.3mm,68.000000mm
Q16,24.3mm,38.157581mm,Bottom,270.0,24.3mm,38.157581mm
Q21,71.85mm,89.000000mm,Bottom,270.0,71.85mm,89.000000mm
Q51,23.7mm,72.237500mm,Bottom,90.0,23.7mm,72.237500mm
R3,28.8mm,3.900000mm,Bottom,90.0,28.8mm,3.900000mm
R4,60.3mm,78.700000mm,Bottom,0.0,60.3mm,78.700000mm
R6,31.6mm,3.900000mm,Bottom,90.0,31.6mm,3.900000mm
R14,27.8mm,35.457581mm,Bottom,0.0,27.8mm,35.457581mm
R21,63.7mm,81.000000mm,Bottom,0.0,63.7mm,81.000000mm
R23,63.7mm,85.200000mm,Bottom,180.0,63.7mm,85.200000mm
R24,37.9mm,69.500000mm,Bottom,90.0,37.9mm,69.500000mm
R25,27.409999mm,74.600000mm,Bottom,0.0,27.409999mm,74.600000mm
R27,9.6mm,72.300000mm,Bottom,0.0,9.6mm,72.300000mm
R28,16.6mm,73.700000mm,Bottom,0.0,16.6mm,73.700000mm
R29,81.3mm,70.700000mm,Bottom,0.0,81.3mm,70.700000mm
R31,81.3mm,73.900000mm,Bottom,180.0,81.3mm,73.900000mm
R32,81.3mm,72.200000mm,Bottom,180.0,81.3mm,72.200000mm
R33,68.55mm,83.237500mm,Bottom,-90.0,68.55mm,83.237500mm
R36,63.7mm,79.600000mm,Bottom,180.0,63.7mm,79.600000mm
R37,41.1mm,69.500000mm,Bottom,90.0,41.1mm,69.500000mm
R38,24.3mm,35.457581mm,Bottom,0.0,24.3mm,35.457581mm
R41,44.9mm,73.900000mm,Bottom,90.0,44.9mm,73.900000mm
R42,72.25mm,84.937500mm,Bottom,180.0,72.25mm,84.937500mm
R43,72.25mm,83.637500mm,Bottom,0.0,72.25mm,83.637500mm
R44,72.25mm,82.337500mm,Bottom,180.0,72.25mm,82.337500mm
R47,63.7mm,83.800000mm,Bottom,0.0,63.7mm,83.800000mm
R73,30.2mm,69.500000mm,Bottom,90.0,30.2mm,69.500000mm
R77,63.7mm,82.400000mm,Bottom,0.0,63.7mm,82.400000mm
R78,13.1mm,73.700000mm,Bottom,180.0,13.1mm,73.700000mm
R79,20.1mm,73.700000mm,Bottom,180.0,20.1mm,73.700000mm
R80,9.6mm,73.700000mm,Bottom,0.0,9.6mm,73.700000mm
R81,16.6mm,75.100000mm,Bottom,180.0,16.6mm,75.100000mm
R82,13.1mm,75.100000mm,Bottom,0.0,13.1mm,75.100000mm
R83,20.1mm,75.000000mm,Bottom,0.0,20.1mm,75.000000mm
R84,9.6mm,75.100000mm,Bottom,180.0,9.6mm,75.100000mm
R86,20.1mm,72.300000mm,Bottom,0.0,20.1mm,72.300000mm
R87,13.1mm,72.300000mm,Bottom,0.0,13.1mm,72.300000mm
R88,16.6mm,72.300000mm,Bottom,0.0,16.6mm,72.300000mm
R90,38.54529mm,88.340000mm,Bottom,90.0,38.54529mm,88.340000mm
R92,63.7mm,78.200000mm,Bottom,0.0,63.7mm,78.200000mm
R1110,63.7mm,86.700000mm,Bottom,0.0,63.7mm,86.700000mm
R1111,67.85mm,80.162500mm,Bottom,180.0,67.85mm,80.162500mm
